ticker,forward_return,is_winner,ai_sentiment,ai_buys,ai_sells,ai_exec_buys,momentum_1m,rsi
AAPL,-8.382952586096016,False,0,0,0,0,52.56494007578336,65.55081601512691
MSFT,-1.7301903254634432,False,0,0,0,0,38.5097492157225,45.36532533040373
GOOGL,4.075456312667125,False,0,0,0,0,69.98520662607292,69.55373413678001
NVDA,1.463707943886039,False,0,0,0,0,40.29843748284219,46.38446781212686
META,3.5036573162768203,False,0,0,0,0,57.351524838961424,70.8965286453876
TSLA,-3.5995125840306508,False,0,0,0,0,55.38192858434034,72.39523631231819
JPM,-2.486879022875821,False,0,0,0,0,46.50845772555279,55.76730512046807
V,0.847321141730073,False,0,0,0,0,42.597180545945655,52.729769529362216
HD,10.081734230687257,True,0,0,0,0,38.863315887645825,63.31821666285035
MA,-1.987127131487476,False,0,0,0,0,43.01869899847672,55.779149263346014
NFLX,-7.56121476157422,False,0,0,0,0,13.158638159353146,23.40818243709269
CRM,-13.03168885596957,False,0,0,0,0,66.11451124628304,82.46333442344455
PLTR,-10.877548849480345,False,0,0,0,0,46.805610657180274,74.39794924833251
COIN,-22.39630718329595,False,0,0,0,0,30.974301833002073,58.50534465843299
SHOP,-19.0654322286249,False,0,0,0,0,61.92902426314468,71.06351379441342
CRWD,-9.856795168972132,False,0,0,0,0,36.63984202535908,49.54238230388858
NET,-11.294856109823815,False,0,0,0,0,31.70675419152349,67.01498320691891
SMCI,-11.747857047450683,False,0,0,0,0,29.80423390127973,55.855867036197246
ARM,-18.93018662149697,False,0,0,0,0,39.02096845311205,58.42320835380891
CELH,23.170737170452526,True,0,0,0,0,52.51543216472862,59.27710544355177
CAVA,17.81879649139826,True,0,0,0,0,65.5939092490879,67.90413064619494
ABNB,4.562200916161285,False,0,0,0,0,58.226558337938926,73.6235998935893
