ticker,forward_return,is_winner,rsi,rvol,momentum_1m,momentum_3m,ema_trend,macd_signal,distance_52w_high,volume_trend,price_acceleration,volatility
AAPL,-8.70937616960058,False,65.55081601512691,18.372211689910046,52.56494007578336,69.21657436961817,100.0,47.90633056833489,96.59067406819985,29.37962359685009,50.02596524899784,84.53759448802776
MSFT,-1.0510696265792707,False,45.36532533040373,36.0936102876914,38.5097492157225,44.02935386596902,20.0,51.95160921590088,86.4603224533828,34.88873210305298,82.99318528561918,76.748289725162
GOOGL,4.787488678970342,False,69.55373413678001,18.44322373221699,69.98520662607292,83.06455310028633,100.0,47.600293691391926,97.44228198328793,12.529776891965671,0.0,64.43353498560367
AMZN,3.378204276595276,False,62.247372576108944,22.842002616860732,36.093932637624036,51.59106069687625,80.0,49.17594007048588,89.62876771414966,21.867299173786414,94.1584536045948,72.12176009665168
NVDA,1.5643704533117475,False,46.38446781212686,19.712079977579496,40.29843748284219,53.35745509532639,35.0,52.60518254501272,86.61587414906136,17.901056112501866,100.0,68.62215175181228
META,3.779217423576897,False,70.8965286453876,22.49077608066351,57.351524838961424,36.10076598013973,55.0,61.545954775397945,81.70408799140154,19.93122801487993,53.35612525408219,70.83042212743737
TSLA,-2.581680909104056,False,72.39523631231819,20.33938207891362,55.38192858434034,64.01980335993956,100.0,58.31057267868223,95.22855384906947,19.20367800930256,100.0,56.24262922760043
BRK-B,-1.876921621788119,False,35.90942082501505,22.44007513497123,47.328338241857956,49.32960715679066,35.0,45.245899164095405,90.47355250231527,14.300523910377883,20.32054598380696,86.18393345033991
JPM,-2.6803635765846656,False,55.76730512046807,54.44855051768256,46.50845772555279,51.533890421859255,100.0,50.62368264120883,96.23273777012813,55.828292037042935,82.4302081015964,69.81127902740371
JNJ,6.802558104228007,False,62.840510160763394,30.09019431856208,64.46768238710278,66.73108413486497,100.0,47.14353410888263,99.38886276532348,20.379302974210933,14.613294823467584,83.87419233995021
V,0.11665316440563345,False,52.729769529362216,21.35802256938476,42.597180545945655,46.153905402976726,20.0,50.0999366872314,87.06811514167572,31.35462177313698,42.01984531653176,84.64390100343715
PG,7.1781473347179325,False,34.21401470937515,33.60308558368942,38.25907525971988,39.16894399894157,20.0,44.00818871422298,79.25119894465881,66.04751947396817,20.18350711470308,79.89261421807447
UNH,6.647993852804102,False,66.7047538433098,20.27033051904804,51.91037491994442,44.369911021508656,35.0,54.50263863872916,55.251811449520986,23.348332232001624,58.04567832360209,66.99138625415259
HD,9.915131705427882,False,63.31821666285035,31.19613245205819,38.863315887645825,33.60761876913736,35.0,54.400605474513576,82.81219081162462,35.66060458373285,83.67548367781976,66.08464844286989
MA,-2.7983855598813,False,55.779149263346014,27.970772882949056,43.01869899847672,42.96383765938969,20.0,50.776344501111225,89.66404353442745,26.150355415097405,53.53266827922427,80.41055176033143
DIS,3.2760657962881856,False,61.087454787989756,21.282676148949,39.516769557260574,43.85132707136832,35.0,55.919421013265435,87.28045282568792,14.052496344123755,100.0,64.01761654891801
PYPL,-7.25147381353154,False,54.51807238803839,32.26128784285821,31.903209915090724,41.64506638421389,20.0,53.11786829688113,67.41972082148332,23.341455731034767,95.34428549666103,69.30039715662025
ADBE,-10.971066066958123,False,68.35387836315542,45.14441105289753,55.948024503814594,48.216744696024435,85.0,60.09889137008841,73.68048011350939,63.66644534771366,100.0,69.79406287707161
NFLX,-7.296946884320976,False,23.40818243709269,40.39662415526226,13.158638159353146,28.009826077617294,20.0,36.74178471517996,69.12723803243489,88.20756360993734,32.997035399080175,59.91089170364331
CRM,-12.631722592873096,False,82.46333442344455,25.7390347145779,66.11451124628304,59.021283632360166,100.0,65.77027639867514,72.32456810336771,93.76664551191271,100.0,65.99284739982153
INTC,4.573324507831078,False,65.3326027162122,22.412138695789103,65.31149751536125,100.0,100.0,56.37010487902801,92.63970548665597,67.24828481317815,100.0,33.67968068051957
CSCO,-3.7681664742660104,False,59.244507337781954,22.182756498567677,73.81815663357449,71.35061738074864,100.0,51.67592380088082,99.2947294024047,0.0,42.946650509967,74.12185956233256
PFE,1.9026717262955906,False,60.08968590366831,17.046134186282007,52.116807964580225,59.90342098292369,100.0,50.19116646149562,94.74159651177717,5.892814088422926,46.63899003558115,74.87274337993374
ABT,-10.786597127240737,False,40.06621942038541,25.080100078419658,42.992122808449686,42.04737532877936,20.0,45.29426256867893,87.95599975222945,12.679113494148265,23.516964571051968,77.77421233874387
COST,12.046969730495594,True,42.66691215621097,34.57527726490312,41.366289619989246,40.4687461617509,20.0,47.6854096624594,81.429997547424,36.32378221344764,49.67195818214344,81.93807182950954
TMO,9.985747648106468,False,50.01344240258357,19.463160978467847,45.67597100220042,69.78582166724259,65.0,43.532685924331375,94.17918683874757,41.44441123554681,19.736536532209648,80.93021933932236
