ticker,forward_return,is_winner,rsi,momentum_1m,volatility,ema_trend,distance_52w_high,insider_score,net_insider_buys,institutional_score,fundamental_score
AAPL,-8.815193721159886,False,65.55081601512691,52.56494007578336,84.53759448802776,100.0,96.59067406819985,50,0,50,50
MSFT,-1.1367440799813555,False,45.36532533040373,38.5097492157225,76.748289725162,20.0,86.4603224533828,50,0,50,50
GOOGL,4.589178263127458,False,69.55373413678001,69.98520662607292,64.43353498560367,100.0,97.44228198328793,50,0,50,50
AMZN,3.175425252012287,False,62.247372576108944,36.093932637624036,72.12176009665168,80.0,89.62876771414966,50,0,50,50
NVDA,1.349495350710539,False,46.38446781212686,40.29843748284219,68.62215175181228,35.0,86.61587414906136,50,0,50,50
META,3.786142130310388,False,70.8965286453876,57.351524838961424,70.83042212743737,55.0,81.70408799140154,50,0,50,50
TSLA,-2.937204431737628,False,72.39523631231819,55.38192858434034,56.24262922760043,100.0,95.22855384906947,50,0,50,50
JPM,-2.7783761117107675,False,55.76730512046807,46.50845772555279,69.81127902740371,100.0,96.23273777012813,50,0,50,50
JNJ,6.986544206273648,False,62.840510160763394,64.46768238710278,83.87419233995021,100.0,99.38886276532348,50,0,50,50
V,0.08288736209915992,False,52.729769529362216,42.597180545945655,84.64390100343715,20.0,87.06811514167572,50,0,50,50
PG,7.084506997362139,False,34.21401470937515,38.25907525971988,79.89261421807447,20.0,79.2512059936949,50,0,50,50
UNH,6.72716650923213,False,66.7047538433098,51.91037491994442,66.99138625415259,35.0,55.25181718900409,50,0,50,50
HD,9.919399107999883,False,63.31821666285035,38.863315887645825,66.08464844286989,35.0,82.81219081162462,50,0,50,50
MA,-2.76586307660196,False,55.779149263346014,43.01869899847672,80.41055176033143,20.0,89.66404353442745,50,0,50,50
NFLX,-7.388629642720335,False,23.40818243709269,13.158638159353146,59.91089170364331,20.0,69.12723803243489,50,0,50,50
CRM,-12.756830276765251,False,82.46333442344455,66.11451124628304,65.99284739982153,100.0,72.32457427528067,50,0,50,50
INTC,4.573324507831078,False,65.3326027162122,65.31149751536125,33.67968068051957,100.0,92.63970548665597,50,0,50,50
CSCO,-3.7493756297465763,False,59.244507337781954,73.81815663357449,74.12185956233256,100.0,99.2947294024047,50,0,50,50
PFE,2.0908017586084515,False,60.08968590366831,52.116807964580225,74.87274337993374,100.0,94.74159651177717,50,0,50,50
ABT,-10.954724642857293,False,40.06621942038541,42.992122808449686,77.77421233874387,20.0,87.95599975222945,50,0,50,50
PLTR,-10.185726686518004,False,74.39794924833251,46.805610657180274,54.093939206923444,100.0,90.5503083044443,50,0,50,50
SOFI,-4.3743058666213415,False,51.569130069377984,25.056539481745975,28.05840136101294,35.0,82.76810428191325,50,0,50,50
COIN,-22.33818189603921,False,58.50534465843299,30.974301833002073,38.82274277991979,35.0,61.86663670615775,50,0,50,50
SHOP,-18.86949241468211,False,71.06351379441342,61.92902426314468,47.15791581771418,100.0,92.44195395579432,50,0,50,50
ROKU,1.8270719823521686,False,71.90850726469333,47.32184606626806,55.32820428191867,100.0,90.31372990139207,50,0,50,50
CRWD,-9.791964256239583,False,49.54238230388858,36.63984202535908,68.01416614828973,80.0,91.64578508606182,50,0,50,50
SNOW,-1.9187248768146148,False,32.08772160430806,9.662313098684969,45.97487440645639,20.0,77.1546630176487,50,0,50,50
NET,-10.156472993852805,False,67.01498320691891,31.70675419152349,59.13673693157843,65.0,82.10000258225662,50,0,50,50
DDOG,-10.198411693238185,False,16.021647247326612,2.83533456163525,63.18645684813825,35.0,74.96653037731402,50,0,50,50
SMCI,-10.931238609194228,False,55.855867036197246,29.80423390127973,45.80276419246273,35.0,52.52859759699344,50,0,50,50
ARM,-19.064444984746064,False,58.42320835380891,39.02096845311205,67.4968064121609,35.0,77.26577934205262,50,0,50,50
CELH,23.780494318616483,True,59.27710544355177,52.51543216472862,45.678737173069095,35.0,66.3470185745012,50,0,50,50
CAVA,17.490297095865024,True,67.90413064619494,65.5939092490879,39.3149813918542,55.0,36.74302590783666,50,0,50,50
ABNB,4.452457724201309,False,73.6235998935893,58.226558337938926,68.97235175663144,85.0,77.81980442537481,50,0,50,50
